Instrument;Action;Quantity;Price;Time;ID;E/X;Position;Order ID;Name;Commission;Rate;Account;Connection;
NQ DEC25;Buy;1;25270,00;12/12/2025 13:24:40;334740358925;Entry;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Sell;1;25273,00;12/12/2025 13:25:01;334740358942;Exit;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Buy;1;25261,25;12/12/2025 13:25:24;334740358953;Entry;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Sell;1;25257,50;12/12/2025 13:25:30;334740358966;Exit;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Buy;1;25250,25;12/12/2025 13:25:45;334740358977;Entry;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Sell;1;25243,50;12/12/2025 13:26:07;334740358990;Exit;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;2;25200,50;12/12/2025 13:32:06;334740359001;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;2;25267,50;12/12/2025 13:41:18;334740359034;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25277,50;12/12/2025 15:03:42;334740359045;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25268,50;12/12/2025 15:06:04;334740359150;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25277,75;12/12/2025 15:04:08;334740359065;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25268,50;12/12/2025 15:06:04;334740359145;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25281,50;12/12/2025 15:04:11;334740359077;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25268,50;12/12/2025 15:06:04;334740359140;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25281,25;12/12/2025 15:04:35;334740359089;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25268,50;12/12/2025 15:06:04;334740359135;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25281,25;12/12/2025 15:04:39;334740359101;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25268,50;12/12/2025 15:06:04;334740359130;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Buy;1;25270,00;12/12/2025 15:07:17;334740359173;Entry;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Sell;1;25270,75;12/12/2025 15:08:19;334740359190;Exit;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25229,00;12/12/2025 16:14:56;334740359201;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25228,00;12/12/2025 16:15:15;334740359230;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25229,00;12/12/2025 16:14:56;334740359213;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25228,00;12/12/2025 16:15:15;334740359235;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25231,00;12/12/2025 16:16:00;334740359249;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25239,75;12/12/2025 16:16:14;334740359286;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25230,75;12/12/2025 16:16:00;334740359261;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25239,75;12/12/2025 16:16:14;334740359291;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25235,50;12/12/2025 16:16:52;334740359305;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25216,50;12/12/2025 16:26:31;334740359458;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25233,75;12/12/2025 16:17:08;334740359321;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25216,50;12/12/2025 16:26:31;334740359453;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25237,25;12/12/2025 16:17:26;334740359349;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25216,50;12/12/2025 16:26:31;334740359448;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25236,50;12/12/2025 16:17:28;334740359361;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25216,50;12/12/2025 16:26:31;334740359443;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25237,00;12/12/2025 16:21:53;334740359389;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
